"","Year","Sex","Air.Pollution","Water.and.Earth.Pollution","Country"
"1",2000,"Female",7.61105984645236,4.8442946577041,"Afghanistan"
"2",2000,"Male",7.64625796079904,4.44827690067757,"Afghanistan"
"3",2005,"Female",7.3526255478521,4.79972975977848,"Afghanistan"
"4",2005,"Male",7.20736021095638,4.36456145549557,"Afghanistan"
"5",2010,"Female",6.15360154773507,3.3601543983836,"Afghanistan"
"6",2010,"Male",6.00857559084897,3.01840352394722,"Afghanistan"
"7",2015,"Female",5.32838560353874,2.75788292798476,"Afghanistan"
"8",2015,"Male",5.1667968088799,2.43906383175841,"Afghanistan"
"9",2019,"Female",4.46034365930777,2.18036740208564,"Afghanistan"
"10",2019,"Male",4.22623777190995,1.93093023493598,"Afghanistan"
"11",2000,"Female",0.341440050320373,0.0842622739767525,"Brunei"
"12",2000,"Male",0.426378015770213,0.137976039527947,"Brunei"
"13",2005,"Female",0.309707674627956,0.0765453915237662,"Brunei"
"14",2005,"Male",0.434748883231889,0.128223316134181,"Brunei"
"15",2010,"Female",0.25596301343597,0.0733995642079204,"Brunei"
"16",2010,"Male",0.390774549597135,0.12524391654869,"Brunei"
"17",2015,"Female",0.327749722505079,0.0706535829661906,"Brunei"
"18",2015,"Male",0.460819768737762,0.119593421993087,"Brunei"
"19",2019,"Female",0.306533270216016,0.0627873522234807,"Brunei"
"20",2019,"Male",0.444824407411629,0.107245754446528,"Brunei"
"21",2000,"Female",7.44238656900237,3.09525605519786,"Cambodia"
"22",2000,"Male",8.56654523987032,4.14683045689813,"Cambodia"
"23",2005,"Female",6.38822674710712,2.12723168557586,"Cambodia"
"24",2005,"Male",7.52981968821324,2.89004025001343,"Cambodia"
"25",2010,"Female",5.07935431561423,1.34918801389384,"Cambodia"
"26",2010,"Male",6.27511665058511,1.90930784799831,"Cambodia"
"27",2015,"Female",4.3444978004792,1.0521117900517,"Cambodia"
"28",2015,"Male",5.3729562307976,1.50175427996797,"Cambodia"
"29",2019,"Female",3.82297402843097,0.876173401522832,"Cambodia"
"30",2019,"Male",4.73328161304759,1.26830778352876,"Cambodia"
"31",2000,"Female",0.235893397542411,0.0382746779706709,"Japan"
"32",2000,"Male",0.396971359359666,0.0665637941788724,"Japan"
"33",2005,"Female",0.193229100986384,0.0351381001628915,"Japan"
"34",2005,"Male",0.368308056233722,0.0665912434904888,"Japan"
"35",2010,"Female",0.159762947403124,0.0337268502649248,"Japan"
"36",2010,"Male",0.325256837261401,0.0634386240352793,"Japan"
"37",2015,"Female",0.167906301588085,0.0292681113520364,"Japan"
"38",2015,"Male",0.35293459875601,0.0566311918970749,"Japan"
"39",2019,"Female",0.162823634251402,0.0263110520698559,"Japan"
"40",2019,"Male",0.333776141595606,0.0505807633737308,"Japan"
"41",2000,"Female",0.237182274664313,0.0714903040056448,"New Zealand"
"42",2000,"Male",0.295316850308568,0.123010378200051,"New Zealand"
"43",2005,"Female",0.186995190234249,0.066457147849088,"New Zealand"
"44",2005,"Male",0.247479341354065,0.109195461103925,"New Zealand"
"45",2010,"Female",0.175567209847381,0.0666218622131201,"New Zealand"
"46",2010,"Male",0.23331525050847,0.108314275087719,"New Zealand"
"47",2015,"Female",0.173150004750438,0.062137611689345,"New Zealand"
"48",2015,"Male",0.209110752122767,0.0965424497919328,"New Zealand"
"49",2019,"Female",0.155507834073483,0.0576953396068109,"New Zealand"
"50",2019,"Male",0.206236615044807,0.0886004189136093,"New Zealand"
"51",2000,"Female",2.87343620613351,0.313355182086399,"North Korea"
"52",2000,"Male",3.40838317893082,0.432652809136739,"North Korea"
"53",2005,"Female",3.99779037624641,0.4541450090284,"North Korea"
"54",2005,"Male",4.7932452924841,0.641087699952741,"North Korea"
"55",2010,"Female",3.73400187977333,0.431093923610354,"North Korea"
"56",2010,"Male",4.48927816832991,0.631382390533289,"North Korea"
"57",2015,"Female",3.39338572409168,0.393118067322304,"North Korea"
"58",2015,"Male",4.17664152107424,0.595489423930732,"North Korea"
"59",2019,"Female",3.10646938448865,0.360703077794139,"North Korea"
"60",2019,"Male",3.84205313309909,0.548288753982285,"North Korea"
"61",2000,"Female",0.711644997473977,0.16843823092606,"Northern mariana"
"62",2000,"Male",0.851392706739085,0.180816506087537,"Northern mariana"
"63",2005,"Female",0.635114291654171,0.166653094023923,"Northern mariana"
"64",2005,"Male",0.805634527926519,0.185887046970794,"Northern mariana"
"65",2010,"Female",0.570796230440555,0.185233356702556,"Northern mariana"
"66",2010,"Male",0.753500730044142,0.2006048236466,"Northern mariana"
"67",2015,"Female",0.745781275579355,0.205631601075206,"Northern mariana"
"68",2015,"Male",1.00133126526085,0.229251350615883,"Northern mariana"
"69",2019,"Female",0.619654619614207,0.199913195516852,"Northern mariana"
"70",2019,"Male",0.804254042481623,0.222130760653709,"Northern mariana"
